,AAPL,Dates
146,213.89999389648438,2019-06-04
147,205.52999877929688,2019-08-22
148,197.99000549316406,2019-05-16
149,196.30999755859375,2019-10-21
150,195.41000366210938,2019-02-20
151,200.1999969482422,2019-04-17
152,201.3000030517578,2019-04-09
153,199.6199951171875,2019-04-01
154,201.02000427246094,2019-02-04
155,203.16000366210938,2019-02-12
156,203.4600067138672,2019-03-08
157,204.27999877929688,2019-02-28
158,210.6199951171875,2019-04-25
159,210.8800048828125,2019-05-03
160,212.99000549316406,2019-06-26
161,213.19000244140625,2019-09-13
162,209.42999267578125,2019-10-02
163,205.86000061035156,2019-06-07
164,207.86000061035156,2019-11-12
165,204.10000610351562,2019-08-06
166,208.5,2019-10-24
167,210.16000366210938,2019-04-30
168,206.42999267578125,2019-07-18
169,208.38999938964844,2019-09-16
170,212.0,2019-10-04
171,214.0500030517578,2019-12-04
172,214.83999633789062,2019-06-10
173,213.86000061035156,2019-08-28
174,218.07000732421875,2019-11-15
175,224.8000030517578,2019-05-22
176,220.0,2019-08-16
177,217.72999572753906,2019-08-09
178,219.9600067138672,2019-10-08
179,221.05999755859375,2019-07-02
180,222.00999450683594,2019-09-19
181,221.3800048828125,2019-01-18
182,218.9499969482422,2019-03-07
183,221.02999877929688,2019-02-27
184,218.5500030517578,2019-02-19
185,220.0,2019-02-11
186,220.5399932861328,2019-04-16
187,220.89999389648438,2019-04-08
188,225.07000732421875,2019-03-15
189,223.05999755859375,2019-04-24
190,218.42999267578125,2019-05-02
191,225.63999938964844,2019-06-13
192,226.27000427246094,2019-08-12
193,225.82000732421875,2019-10-30
194,227.02999877929688,2019-11-18
195,227.92999267578125,2019-11-20
196,232.9499969482422,2019-07-24
197,234.89999389648438,2019-10-11
198,236.38999938964844,2019-07-05
199,233.3699951171875,2019-12-10
200,235.08999633789062,2019-09-03
201,234.58999633789062,2019-11-21
202,237.52000427246094,2019-05-28
203,241.16000366210938,2019-08-15
204,242.10000610351562,2019-10-14
205,244.50999450683594,2019-07-08
206,243.16000366210938,2019-09-25
207,247.4199981689453,2019-06-19
208,248.97000122070312,2019-09-06
209,244.75999450683594,2019-05-31
210,247.24000549316406,2019-11-05
211,249.5399932861328,2019-03-22
212,257.3299865722656,2019-03-14
213,257.04998779296875,2019-03-06
214,256.7699890136719,2019-02-26
215,258.739990234375,2019-01-17
216,258.69000244140625,2019-01-25
217,258.29998779296875,2019-04-23
218,261.54998779296875,2019-04-15
219,261.1300048828125,2019-05-01
220,263.75,2019-05-09
221,263.67999267578125,2019-07-11
222,265.79998779296875,2019-07-30
223,267.8999938964844,2019-10-17
224,265.5400085449219,2019-09-09
225,263.69000244140625,2019-11-27
226,262.5899963378906,2019-06-03
227,262.7099914550781,2019-08-21
228,266.94000244140625,2019-02-25
229,265.5799865722656,2019-11-08
230,266.6000061035156,2019-05-15
231,267.2699890136719,2019-08-02
232,258.30999755859375,2019-07-17
233,261.07000732421875,2019-10-01
234,263.7900085449219,2019-06-25
235,267.4800109863281,2019-09-12
236,270.0,2019-06-06
237,268.6000061035156,2019-11-11
238,268.80999755859375,2019-08-05
239,267.7799987792969,2019-10-23
